acetic acid
acetone
acetonitrile
benzene
1-butanol
2-butanol
2-butanone
t-butyl alcohol
carbon tetrachloride
chlorobenzene
chloroform
cyclohexane
1,2-dichloroethane
diethylene glycol
diethyl ether
diglyme
1,2-dimethoxyethane
dimethylformamide
dimethyl sulfoxide
1,4-dioxane
ethanol
ethyl acetate
ethylene glycol
glycerin
heptane
hexamethylphosphoramide
hexamethylphosphorous triamide
hexane
methanol
methyl t-butyl ether
methylene chloride
N-methyl-2-pyrrolidinone
nitromethane
pentane
petroleum ether
1-propanol
2-propanol
pyridine
tetrahydrofuran
toluene
triethyl amine
water
o-xylene
m-xylene
p-xylene
